HotelId,HotelName,Description,Category,Tags,ParkingIncluded,LastRenovationDate,Rating,StreetAddress,City,StateProvince,PostalCode,Country,IsDeleted
1,Stay-Kay City Hotel,"This classic hotel is fully-refurbished and ideally located on the main commercial artery of the city in the heart of New York. A few minutes away is Times Square and the historic centre of the city, as well as other places of interest that make New York one of America's most attractive and cosmopolitan cities.",Boutique,"[ view, air conditioning, concierge ]",FALSE,2022-01-18T00:00:00Z,3.6,677 5th Ave,New York,NY,10022,USA,FALSE
10,Countryside Hotel,"Save up to 50% off traditional hotels. Free WiFi, great location near downtown, full kitchen, washer & dryer, 24/7 support, bowling alley, fitness center and more.",Extended-Stay,"[ 24-hour front desk service, laundry service, free wifi ]",TRUE,2019-09-06T00:00:00Z,2.7,6910 Fayetteville Rd,Durham,NC,27713,USA,FALSE
11,Royal Cottage Resort,"Your home away from home. Brand new fully equipped premium rooms, fast WiFi, full kitchen, washer & dryer, fitness center. Inner courtyard includes water features and outdoor seating. All units include fireplaces and small outdoor balconies. Pets accepted.",Extended-Stay,"[ free wifi, free parking, 24-hour front desk service ]",TRUE,2023-11-26T00:00:00Z,2.5,22422 29th Dr SE,Bothell,WA,98021,USA,FALSE
12,Winter Panorama Resort,"Plenty of great skiing, outdoor ice skating, sleigh rides, tubing and snow biking. Yoga, group exercise classes and outdoor hockey are available year-round, plus numerous options for shopping as well as great spa services. Newly-renovated with large rooms, free 24-hr airport shuttle & a new restaurant. Rooms/suites offer mini-fridges & 49-inch HDTVs.",Resort and Spa,"[ restaurant, bar, pool ]",FALSE,2022-09-16T00:00:00Z,4.5,9025 SW Hillman Ct,Wilsonville,OR,97070,USA,FALSE
13,Luxury Lion Resort,"Unmatched Luxury. Visit our downtown hotel to indulge in luxury accommodations. Moments from the stadium and transportation hubs, we feature the best in convenience and comfort.",Luxury,"[ bar, concierge, restaurant ]",FALSE,2020-03-18T00:00:00Z,4.1,3 Cityplace Dr,St. Louis,MO,63141,USA,FALSE
14,Twin Vortex Hotel,New experience in the making. Be the first to experience the luxury of the Twin Vortex. Reserve one of our newly-renovated guest rooms today.,Luxury,"[ bar, restaurant, concierge ]",FALSE,2023-11-14T00:00:00Z,4.4,1950 N Stemmons Fw,Dallas,TX,75207,USA,FALSE
15,By the Market Hotel,"Book now and Save up to 30%. Central location. Walking distance from the Empire State Building & Times Square, in the Chelsea neighborhood. Brand new rooms. Impeccable service.",Budget,"[ coffee in lobby, free wifi, 24-hour front desk service ]",TRUE,2023-10-30T00:00:00Z,3.3,11 Times Sq,New York,NY,10036,USA,FALSE
16,Double Sanctuary Resort,"5 star Luxury Hotel - Biggest Rooms in the city. #1 Hotel in the area listed by Traveler magazine. Free WiFi, Flexible check in/out, Fitness Center & espresso in room.",Resort and Spa,"[ view, pool, restaurant ]",TRUE,2019-08-05T00:00:00Z,4.2,2211 Elliott Ave,Seattle,WA,98121,USA,FALSE
17,City Skyline Antiquity Hotel,"In vogue since 1888, the Antiquity Hotel takes you back to bygone era. From the crystal chandeliers that adorn the Green Room, to the arched ceilings of the Grand Hall, the elegance of old New York beckons. Elevate Your Experience. Upgrade to a premiere city skyline view for less, where old world charm combines with dramatic views of the city, local cathedral and midtown.",Boutique,"[ view, concierge, bar ]",FALSE,2015-10-10T00:00:00Z,4.5,8th Ave,New York,NY,10014,USA,FALSE
18,Ocean Water Resort & Spa,"New Luxury Hotel for the vacation of a lifetime. Bay views from every room, location near the pier, rooftop pool, waterfront dining & more.",Luxury,"[ view, pool, restaurant ]",TRUE,2020-11-14T00:00:00Z,4.2,5426 Bay Center Dr,Tampa,FL,33609,USA,FALSE
19,Economy Universe Motel,"Local, family-run hotel in bustling downtown Redmond. We are a pet-friendly establishment, near expansive Marymoor park, haven to pet owners, joggers, and sports enthusiasts. Close to the highway and just a short drive away from major cities.",Budget,"[ coffee in lobby, free wifi, free parking ]",TRUE,2019-11-21T00:00:00Z,2.9,15255 NE 40th,Redmond,WA,98052,USA,FALSE
2,Old Century Hotel,"The hotel is situated in a nineteenth century plaza, which has been expanded and renovated to the highest architectural standards to create a modern, functional and first-class hotel in which art and unique historical elements coexist with the most modern comforts. The hotel also regularly hosts events like wine tastings, beer dinners, and live music.",Boutique,"[ pool, free wifi, concierge ]",FALSE,2019-02-18T00:00:00Z,3.6,140 University Town Center Dr,Sarasota,FL,34243,USA,FALSE
20,Grand Gaming Resort,"The Best Gaming Resort in the area. With elegant rooms & suites, pool, cabanas, spa, brewery & world-class gaming. This is the best place to play, stay & dine.",Resort and Spa,"[ continental breakfast, bar, pool ]",TRUE,2021-10-31T00:00:00Z,4.2,3400 Menaul Blvd NE,Albuquerque,NM,87107,USA,FALSE
21,Good Business Hotel,"1 Mile from the airport. Free WiFi, Outdoor Pool, Complimentary Airport Shuttle, 6 miles from Lake Lanier & 10 miles from downtown. Our business center includes printers, a copy machine, fax, and a work area.",Suite,"[ pool, continental breakfast, free parking ]",TRUE,2021-10-19T00:00:00Z,3.6,4400 Ashford Dunwoody Rd NE,Atlanta,GA,30346,USA,FALSE
22,Lion's Den Inn,"Full breakfast buffet for 2 for only $1. Excited to show off our room upgrades, faster high speed WiFi, updated corridors & meeting space. Come relax and enjoy your stay.",Budget,"[ laundry service, free wifi, restaurant ]",TRUE,2020-09-18T00:00:00Z,3.9,16021 NE 36th Way,Redmond,WA,98052,USA,FALSE
23,Downtown Mix Hotel,"Mix and mingle in the heart of the city. Shop and dine, mix and mingle in the heart of downtown, where fab lake views unite with a cheeky design.",Budget,"[ air conditioning, laundry service, free wifi ]",FALSE,2019-09-16T00:00:00Z,4.2,550 Kirkland Way,Kirkland,WA,98033,USA,FALSE
24,Uptown Chic Hotel,"Chic hotel near the city. High-rise hotel in downtown, within walking distance to theaters, art galleries, restaurants and shops. Visit Seattle Art Museum by day, and then head over to Benaroya Hall to catch the evening's concert performance.",Suite,"[ view, pool, bar ]",FALSE,2018-08-25T00:00:00Z,3.5,600 Pine St,Seattle,WA,98101,USA,FALSE
25,Waterfront Scottish Inn,"Newly Redesigned Rooms & airport shuttle. Minutes from the airport, enjoy lakeside amenities, a resort-style pool & stylish new guestrooms with Internet TVs.",Suite,"[ 24-hour front desk service, continental breakfast, free wifi ]",TRUE,2019-06-25T00:00:00Z,3.8,3301 Veterans Memorial Blvd,Metairie,LA,70002,USA,FALSE
26,Planetary Plaza & Suites,"Extend Your Stay. Affordable home away from home, with amenities like free Wi-Fi, full kitchen, and convenient laundry service.",Extended-Stay,"[ free parking, free wifi, laundry service ]",TRUE,2022-06-02T00:00:00Z,3.2,9255 Towne Centre Dr,San Diego,CA ,92121,USA,FALSE
27,Starlight Suites,"Complimentary Airport Shuttle & WiFi. Book Now and save - Spacious All Suite Hotel, Indoor Outdoor Pool, Fitness Center, Florida Green certified, Complimentary Coffee, HDTV",Suite,"[ pool, coffee in lobby, free wifi ]",TRUE,2017-04-23T00:00:00Z,4.2,19575 Biscayne Blvd,Aventura,FL,33180,USA,FALSE
